point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,萧山方言研究
XH02,萧山城厢,太湖片-临绍小片,,,模,TS,祖,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,TS,组,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,TS,做,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,TS,粗,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,TS,醋,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,TS,措,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,TS,错,o,,
XH02,萧山城厢,太湖片-临绍小片,,,模,TS,苏,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,TS,酥,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,TS,素,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,TS,诉,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,TS,塑,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,TS,嗉,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,姑,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,孤,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,箍,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,辜,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,菇,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,鸪,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,蛄,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,古,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,估,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,盬,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,牯,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,股,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,鼓,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,蛊,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,故,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,固,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,锢,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,雇,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,顾,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,枯,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,苦,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,库,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,裤,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,吴,u,文读,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,蜈,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,吾,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,梧,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,五,u,文读,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,伍,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,午,u,文读,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,忤,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,误,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,K,悟,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,呼,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,虎,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,浒,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,琥,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,戽,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,胡,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,湖,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,狐,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,壶,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,乎,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,瓠,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,鬍,u,,
