point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,汪平1996
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,篰,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,步,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,捕,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,P,埠,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,M,模,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,M,模,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,M,摹,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,M,姥,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,M,暮,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,M,慕,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,M,墓,o,文读/白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,M,募,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,M,睦,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,T,都,əu,～督,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,T,都,əu,～督,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,T,赌,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,T,堵,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,T,肚,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,T,睹,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,T,妒,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,T,土,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,T,吐,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,T,吐,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,T,兔,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,T,徒,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,T,屠,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,T,途,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,T,涂,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,T,图,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,T,杜,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,T,肚,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,T,度,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,T,渡,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,T,镀,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,N,奴,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,N,努,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,N,怒,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,L,卢,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,L,炉,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,L,芦,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,L,鸬,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,L,颅,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,L,鲈,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,L,鲁,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,L,橹,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,L,虏,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,L,卤,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,L,路,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,L,赂,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,L,露,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,L,鹭,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,TS,租,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,TS,祖,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,TS,组,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,TS,做,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,TS,粗,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,TS,醋,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,TS,措,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,TS,错,o,～处,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,TS,苏,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,TS,酥,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,TS,素,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,TS,诉,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,TS,塑,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,TS,嗉,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,姑,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,孤,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,箍,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,辜,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,菇,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,鸪,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,蛄,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,古,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,估,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,盬,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,牯,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,股,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,鼓,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,蛊,,,
