point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,吕叔湘1993
DY01,丹阳,太湖片-毗陵小片,,,麻,K,价,iɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,揢,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,牙,iɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,芽,iɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,衙,iɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,伢,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,蚜,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,雅,iɑ,,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,砑,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,虾,iɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,�,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,嚇,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,霞,iɑ,,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,瑕,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,遐,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,蝦,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,下,ɑ/iɑ,白读/文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,夏,iɑ,姓,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,厦,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,下,ɑ/iɑ,白读/文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,夏,iɑ,姓,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,暇,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,鸦,iɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,丫,iɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,桠,iɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,哑,iɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,亚,iɑ,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,补,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,谱,,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,哺,,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,布,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,佈,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,铺,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,潽,,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,普,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,浦,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,铺,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,怖,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,蒲,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,菩,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,脯,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,葡,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,莆,,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,部,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,簿,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,篰,,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,步,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,捕,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,P,埠,,,
DY01,丹阳,太湖片-毗陵小片,,,模,M,模,ə,,
DY01,丹阳,太湖片-毗陵小片,,,模,M,模,ə,,
DY01,丹阳,太湖片-毗陵小片,,,模,M,摹,ə,,
DY01,丹阳,太湖片-毗陵小片,,,模,M,姥,,,
DY01,丹阳,太湖片-毗陵小片,,,模,M,暮,ə,,
DY01,丹阳,太湖片-毗陵小片,,,模,M,慕,ə,,
DY01,丹阳,太湖片-毗陵小片,,,模,M,墓,ə,,
DY01,丹阳,太湖片-毗陵小片,,,模,M,募,ə,,
DY01,丹阳,太湖片-毗陵小片,,,模,M,睦,ə,,
DY01,丹阳,太湖片-毗陵小片,,,模,T,都,u/ə,首～/～是,
DY01,丹阳,太湖片-毗陵小片,,,模,T,都,u/ə,首～/～是,
DY01,丹阳,太湖片-毗陵小片,,,模,T,赌,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,T,堵,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,T,肚,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,T,睹,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,T,妒,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,T,土,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,T,吐,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,T,吐,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,T,兔,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,T,徒,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,T,屠,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,T,途,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,T,涂,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,T,图,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,T,杜,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,T,肚,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,T,度,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,T,渡,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,T,镀,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,N,奴,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,N,努,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,N,怒,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,L,卢,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,L,炉,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,L,芦,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,L,鸬,,,
DY01,丹阳,太湖片-毗陵小片,,,模,L,颅,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,L,鲈,,,
DY01,丹阳,太湖片-毗陵小片,,,模,L,鲁,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,L,橹,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,L,虏,ə,,
DY01,丹阳,太湖片-毗陵小片,,,模,L,卤,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,L,路,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,L,赂,,,
DY01,丹阳,太湖片-毗陵小片,,,模,L,露,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,L,鹭,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,TS,租,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,TS,祖,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,TS,组,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,TS,做,ə,,
DY01,丹阳,太湖片-毗陵小片,,,模,TS,粗,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,TS,醋,,,
DY01,丹阳,太湖片-毗陵小片,,,模,TS,措,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,TS,错,ə,,
DY01,丹阳,太湖片-毗陵小片,,,模,TS,苏,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,TS,酥,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,TS,素,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,TS,诉,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,TS,塑,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,TS,嗉,,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,姑,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,孤,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,箍,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,辜,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,菇,,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,鸪,,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,蛄,,,
