point_id,point_name,subbranch,candidate_nucleus,observed_token_count,point_monophthong_token_count,in_core_nucleus,in_core_back_nucleus,core_nucleus_token_count,log_core_nucleus_token_count,candidate_is_back,distance_to_au,phonetic_fit_to_au,log_core_nucleus_token_count_z,phonetic_fit_to_au_z,predicted_probability,predicted_token_count
FX01,奉贤,太湖片-苏沪嘉小片,ʌ,0,77,0,0,0,0.0,1,1.121650569473399,-1.121650569473399,-0.46693359802595813,0.14337498735650964,0.0035389695290068746,0.27250065373352933
FX01,奉贤,太湖片-苏沪嘉小片,ɜ,0,77,0,0,0,0.0,0,1.425622670975739,-1.425622670975739,-0.46693359802595813,-0.4035773596527684,0.0012459254275411923,0.0959362579206718
FX01,奉贤,太湖片-苏沪嘉小片,ɐ,0,77,0,0,0,0.0,0,1.4397569239284802,-1.4397569239284802,-0.46693359802595813,-0.42900983450002067,0.0011868896101012148,0.09139049997779354
FX01,奉贤,太湖片-苏沪嘉小片,ə,0,77,0,0,0,0.0,0,1.4397569239284802,-1.4397569239284802,-0.46693359802595813,-0.42900983450002067,0.0011868896101012148,0.09139049997779354
FX01,奉贤,太湖片-苏沪嘉小片,a,0,77,0,0,0,0.0,0,1.5481924944915604,-1.5481924944915604,-0.46693359802595813,-0.624123430536104,0.000817852470845892,0.06297464025513369
FX01,奉贤,太湖片-苏沪嘉小片,æ,0,77,0,0,0,0.0,0,2.1077238908357994,-2.1077238908357994,-0.46693359802595813,-1.6309165176099327,0.00011970568522588872,0.009217337762393432
FY01,富阳城关,太湖片-临绍小片,ɔ,92,93,0,0,0,0.0,1,0.0,-0.0,-0.46693359802595813,2.1616174789064986,0.6705829573049267,62.36421502935818
FY01,富阳城关,太湖片-临绍小片,ɒ,0,93,0,0,0,0.0,1,0.35999999999999993,-0.35999999999999993,-0.46693359802595813,1.5138513057933247,0.19476020049923828,18.11269864642916
FY01,富阳城关,太湖片-临绍小片,u,0,93,1,1,97,4.584967478670572,1,1.1700000000000002,-1.1700000000000002,2.3537750907750694,0.05637741628868252,0.06642740378643756,6.177748552138693
FY01,富阳城关,太湖片-临绍小片,a,1,93,1,0,52,3.970291913552122,0,1.5481924944915604,-1.5481924944915604,1.9756217635401243,-0.624123430536104,0.018124258727924933,1.6855560616970187
FY01,富阳城关,太湖片-临绍小片,ɤ,0,93,0,0,0,0.0,1,1.0628264204469138,-1.0628264204469138,-0.46693359802595813,0.24922024819407998,0.017426517068919945,1.6206660874095549
FY01,富阳城关,太湖片-临绍小片,ʌ,0,93,0,0,0,0.0,1,1.121650569473399,-1.121650569473399,-0.46693359802595813,0.14337498735650964,0.014238766499260484,1.3242052844312249
FY01,富阳城关,太湖片-临绍小片,ɜ,0,93,0,0,0,0.0,0,1.425622670975739,-1.425622670975739,-0.46693359802595813,-0.4035773596527684,0.005012883296350039,0.46619814656055364
FY01,富阳城关,太湖片-临绍小片,ɐ,0,93,0,0,0,0.0,0,1.4397569239284802,-1.4397569239284802,-0.46693359802595813,-0.42900983450002067,0.00477535731237902,0.4441082300512489
FY01,富阳城关,太湖片-临绍小片,ə,0,93,0,0,0,0.0,0,1.4397569239284802,-1.4397569239284802,-0.46693359802595813,-0.42900983450002067,0.00477535731237902,0.4441082300512489
FY01,富阳城关,太湖片-临绍小片,ɯ,0,93,0,0,0,0.0,1,1.5391231269784755,-1.5391231269784755,-0.46693359802595813,-0.6078044597402487,0.003394671750759477,0.31570447282063135
FY01,富阳城关,太湖片-临绍小片,æ,0,93,0,0,0,0.0,0,2.1077238908357994,-2.1077238908357994,-0.46693359802595813,-1.6309165176099327,0.0004816264414245241,0.04479125905248074
FY02,富阳东梓关,太湖片-临绍小片,ɔ,88,88,1,1,1,0.6931471805599453,1,0.0,-0.0,-0.04050390492150895,2.1616174789064986,0.9181155983505621,80.79417265484946
FY02,富阳东梓关,太湖片-临绍小片,ɒ,0,88,0,0,0,0.0,1,0.35999999999999993,-0.35999999999999993,-0.46693359802595813,1.5138513057933247,0.04841225685389591,4.26027860314284
FY02,富阳东梓关,太湖片-临绍小片,u,0,88,1,1,182,5.209486152841421,1,1.1700000000000002,-1.1700000000000002,2.7379839774786645,0.05637741628868252,0.01651210322233701,1.453065083565657
