point_id,point_name,subbranch,chain_slot,total_tokens,eligible_tokens,clear_split_tokens,i_medial_tokens,i_offglide_tokens,non_core_diphthong_tokens,medial_pending_tokens,checked_or_coda_tokens,monophthong_tokens,point_count,value_types,clear_split_values,clear_split_rate,raw_clear_split_share,medial_pending_share,i_offglide_share,non_core_diphthong_share
SX01,绍兴城区东头埭,太湖片-临绍小片,S1,76,73,0,3,0,0,0,0,73,1,3,,0.0,0.0,0.0,0.0,0.0
SX01,绍兴城区东头埭,太湖片-临绍小片,S2,122,121,0,1,0,0,0,0,121,1,4,,0.0,0.0,0.0,0.0,0.0
SX01,绍兴城区东头埭,太湖片-临绍小片,S3,148,148,0,0,0,0,0,0,148,1,3,,0.0,0.0,0.0,0.0,0.0
SY02,上虞百官镇,太湖片-临绍小片,S0,44,35,0,9,0,0,0,0,35,1,4,,0.0,0.0,0.0,0.0,0.0
SY02,上虞百官镇,太湖片-临绍小片,S1,61,59,0,2,0,0,0,0,59,1,3,,0.0,0.0,0.0,0.0,0.0
SY02,上虞百官镇,太湖片-临绍小片,S2,98,95,0,1,0,0,2,0,95,1,5,,0.0,0.0,0.02040816326530612,0.0,0.0
SY02,上虞百官镇,太湖片-临绍小片,S3,117,117,0,0,0,0,0,0,117,1,3,,0.0,0.0,0.0,0.0,0.0
SZ01,苏州城区,太湖片-苏沪嘉小片,S0,51,45,0,5,0,0,1,0,45,1,6,,0.0,0.0,0.0196078431372549,0.0,0.0
SZ01,苏州城区,太湖片-苏沪嘉小片,S1,82,69,0,13,0,0,0,0,69,1,4,,0.0,0.0,0.0,0.0,0.0
SZ01,苏州城区,太湖片-苏沪嘉小片,S2,107,96,81,0,0,0,0,0,15,1,5,əu,0.84375,0.7570093457943925,0.0,0.0,0.0
SZ01,苏州城区,太湖片-苏沪嘉小片,S3,122,102,94,0,0,0,0,0,8,1,3,əu,0.9215686274509803,0.7704918032786885,0.0,0.0,0.0
SZ02,嵊州长乐,太湖片-临绍小片,S0,42,37,0,5,0,0,0,0,37,1,6,,0.0,0.0,0.0,0.0,0.0
SZ02,嵊州长乐,太湖片-临绍小片,S1,64,61,0,3,0,0,0,0,61,1,3,,0.0,0.0,0.0,0.0,0.0
SZ02,嵊州长乐,太湖片-临绍小片,S2,102,102,0,0,0,0,0,0,102,1,3,,0.0,0.0,0.0,0.0,0.0
SZ02,嵊州长乐,太湖片-临绍小片,S3,120,120,0,0,0,0,0,0,120,1,2,,0.0,0.0,0.0,0.0,0.0
SZ03,嵊州崇仁镇,太湖片-临绍小片,S0,40,40,0,0,0,0,0,0,40,1,2,,0.0,0.0,0.0,0.0,0.0
SZ03,嵊州崇仁镇,太湖片-临绍小片,S1,62,62,0,0,0,0,0,0,62,1,2,,0.0,0.0,0.0,0.0,0.0
SZ03,嵊州崇仁镇,太湖片-临绍小片,S2,98,98,0,0,0,0,0,0,98,1,2,,0.0,0.0,0.0,0.0,0.0
SZ03,嵊州崇仁镇,太湖片-临绍小片,S3,116,116,0,0,0,0,0,0,116,1,1,,0.0,0.0,0.0,0.0,0.0
TC01,太仓沙溪,太湖片-苏沪嘉小片,S0,49,40,0,9,0,0,0,0,40,1,5,,0.0,0.0,0.0,0.0,0.0
TC01,太仓沙溪,太湖片-苏沪嘉小片,S1,81,73,0,8,0,0,0,0,73,1,3,,0.0,0.0,0.0,0.0,0.0
TC01,太仓沙溪,太湖片-苏沪嘉小片,S2,107,107,66,0,0,0,0,0,41,1,6,əu,0.616822429906542,0.616822429906542,0.0,0.0,0.0
TC01,太仓沙溪,太湖片-苏沪嘉小片,S3,128,128,73,0,0,0,0,0,55,1,4,əu,0.5703125,0.5703125,0.0,0.0,0.0
