point_id,point_name,onset_class,S0,S1,S2,S3,exact_chain,slot_distinct_count,一级分类,二级分类,三级分类(详细模式),is_leapfrog,unplaced_values
HN01,海宁硖石,P,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
HY01,海盐县城,P,ɑ,o,u,u,ɑ → o → u → u,3,合流型,单一合并,S2=S3,False,
HZ01,杭州城区,P,ɛ,a,o,u,ɛ → a → o → u,4,分立型,全不等,全对立,False,
HZ02,湖州市区,P,a,ɷ,u,u,a → ɷ → u → u,3,合流型,单一合并,S2=S3,False,
JD01,嘉定城厢,P,ᴀ,o,u,u,ᴀ → o → u → u,3,合流型,单一合并,S2=S3,False,
JJ01,靖江城区,P,æ,o,u,u,æ → o → u → u,3,合流型,单一合并,S2=S3,False,
JS01,嘉善魏塘镇,P,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
JS02,金山朱泾,P,ᴀ,o,u,u,ᴀ → o → u → u,3,合流型,单一合并,S2=S3,False,
JT01,金坛,P,a,o,əu,u,a → o → əu → u,4,分立型,全不等,全对立,False,
JW01,江湾,P,ɑ,o,u,u,ɑ → o → u → u,3,合流型,单一合并,S2=S3,False,
JX01,嘉兴城区,P,ɑ,o,u,u,ɑ → o → u → u,3,合流型,单一合并,S2=S3,False,
JY01,江阴城区澄江镇,P,æ,o,u,u,æ → o → u → u,3,合流型,单一合并,S2=S3,False,
KQ01,柯桥,P,a,o,o,u,a → o → o → u,3,合流型,单一合并,S1=S2,False,
KS01,昆山市区玉山镇,P,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
LA01,临安城区,P,a,o,o,u,a → o → o → u,3,合流型,单一合并,S1=S2,False,
LP01,临平五杭,P,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
LT01,练塘,P,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
LY01,溧阳,P,ᴀ,o,ʌɯ,u,ᴀ → o → ʌɯ → u,4,分立型,全不等,全对立,False,
MH01,闵行,P,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
NB01,宁波市区,P,a,o,əu,u,a → o → əu → u,4,分立型,全不等,全对立,False,
NH01,南汇惠南镇,P,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
NT01,南通金沙镇,P,æ,o,ɤɯ,u,æ → o → ɤɯ → u,4,分立型,全不等,全对立,False,
PB01,彭埠镇,P,a,o,o,u,a → o → o → u,3,合流型,单一合并,S1=S2,False,
PH01,平湖城关,P,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
QD01,启东吕四,P,a,ɤ,ɤ,u,a → ɤ → ɤ → u,3,合流型,单一合并,S1=S2,False,
QP01,青浦商榻,P,ɒ,ʊ,u,u,ɒ → ʊ → u → u,3,合流型,单一合并,S2=S3,False,
SH01,上海市区,P,ᴀ,o,u,u,ᴀ → o → u → u,3,合流型,单一合并,S2=S3,False,
SJ01,松江镇,P,ɑ,o,u,u,ɑ → o → u → u,3,合流型,单一合并,S2=S3,False,
SJ02,泗泾,P,ɑ,o,u,u,ɑ → o → u → u,3,合流型,单一合并,S2=S3,False,
SL01,三林,P,ᴀ,o,u,u,ᴀ → o → u → u,3,合流型,单一合并,S2=S3,False,
SX01,绍兴城区东头埭,P,a,o,o,u,a → o → o → u,3,合流型,单一合并,S1=S2,False,
SY02,上虞百官镇,P,ɐ,o,o,u,ɐ → o → o → u,3,合流型,单一合并,S1=S2,False,
SZ01,苏州城区,P,ɑ,o,v,v,ɑ → o → v → v,3,合流型,单一合并,S2=S3,False,S2=v、S3=v
SZ02,嵊州长乐,P,a,ɔ,o,u,a → ɔ → o → u,4,分立型,全不等,全对立,False,
SZ03,嵊州崇仁镇,P,a,ɤ,ɤ,u,a → ɤ → ɤ → u,3,合流型,单一合并,S1=S2,False,
TC01,太仓沙溪,P,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
TC02,太仓城厢,P,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
TL01,桐庐镇,P,a,uo,u,u,a → uo → u → u,3,合流型,单一合并,S2=S3,False,
TX01,桐乡城区,P,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
WJ01,吴江市松陵,P,ɔ,o,u,u,ɔ → o → u → u,3,合流型,单一合并,S2=S3,False,
WJ02,吴江芦墟,P,ɔ,o,u,u,ɔ → o → u → u,3,合流型,单一合并,S2=S3,False,
WX01,无锡城区,P,a,u,əɯ,əɯ,a → u → əɯ → əɯ,3,合流型,单一合并,S2=S3,False,
WX02,吴县光福镇,P,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
XC01,新昌城关,P,a,o̞,o,u,a → o̞ → o → u,4,分立型,全不等,全对立,False,
XD01,新登下港,P,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
XH02,萧山城厢,P,a,o,o,u,a → o → o → u,3,合流型,单一合并,S1=S2,False,
XS01,象山丹城,P,a,o,o,u,a → o → o → u,3,合流型,单一合并,S1=S2,False,
XS03,萧山南阳镇,P,a,o,o,u,a → o → o → u,3,合流型,单一合并,S1=S2,False,
XZ01,莘庄,P,ᴀ,o,u,u,ᴀ → o → u → u,3,合流型,单一合并,S2=S3,False,
YQ01,於潜,P,a,uo,u,u,a → uo → u → u,3,合流型,单一合并,S2=S3,False,
YX01,宜兴,P,a,o,au,u,a → o → au → u,4,分立型,全不等,全对立,False,
YX02,鄞县中区,P,a,o,əu,u,a → o → əu → u,4,分立型,全不等,全对立,False,
YY01,余姚城关,P,a,o,ou,u,a → o → ou → u,4,分立型,全不等,全对立,False,
ZJ01,诸暨城关,P,a,o,ɔi,u,a → o → ɔi → u,4,分立型,全不等,全对立,False,
ZJ02,诸暨璜山镇,P,a,ʊ,ɤɯ,u,a → ʊ → ɤɯ → u,4,分立型,全不等,全对立,False,
