point_id,point_name,onset_class,S0,S1,S2,S3
SL01,三林, P,ᴀ,o,u,u
SL01,三林, T,,,u,u
SL01,三林, Ø,ᴀ,ɔ,u,u
SL01,三林,TS,,iɔ,u,u
SL01,三林,TS*,ᴀ,iɔ,,
SX01,绍兴城区东头埭, K,a,o,o,u
SX01,绍兴城区东头埭, M,a,o,o,u
SX01,绍兴城区东头埭, N,a,a,o,u
SX01,绍兴城区东头埭, P,a,o,o,u
SX01,绍兴城区东头埭, T,,,o,u
SX01,绍兴城区东头埭, Ø,a,o,o,u
SX01,绍兴城区东头埭,TS,,o,o,u
SX01,绍兴城区东头埭,TS*,a,o,,
SY02,上虞百官镇, K,ɐ,o,o,u
SY02,上虞百官镇, M,ɐ,o,o,u
SY02,上虞百官镇, N,ɐ,o,o,u
SY02,上虞百官镇, P,ɐ,o,o,u
SY02,上虞百官镇, T,,,o,u
SY02,上虞百官镇, Ø,ɐ,o,o,u
SY02,上虞百官镇,TS,,o,o,y
SY02,上虞百官镇,TS*,ɐ,o,,
SZ01,苏州城区, K,ɑ,ɑ,əu,əu
SZ01,苏州城区, M,ɑ,o,o,o
SZ01,苏州城区, N,ɑ,ɑ,əu,əu
SZ01,苏州城区, P,ɑ,o,v,v
SZ01,苏州城区, T,,,əu,əu
SZ01,苏州城区, Ø,ɑ,o,əu,əu
SZ01,苏州城区,TS,,o,əu,əu
SZ01,苏州城区,TS*,ɑ,o,,
SZ02,嵊州长乐, K,a,ɔ,o,u
SZ02,嵊州长乐, M,a,ɔ,o,o
SZ02,嵊州长乐, N,a,a,o,u
SZ02,嵊州长乐, P,a,ɔ,o,u
SZ02,嵊州长乐, T,,,o,u
SZ02,嵊州长乐, Ø,a,ɔ,o,u
SZ02,嵊州长乐,TS,,ɔ,ɔ,u
SZ02,嵊州长乐,TS*,a,ɔ,,
SZ03,嵊州崇仁镇, K,a,ɤ,ɤ,u
SZ03,嵊州崇仁镇, M,a,ɤ,ɤ,u
SZ03,嵊州崇仁镇, N,a,a,ɤ,u
SZ03,嵊州崇仁镇, P,a,ɤ,ɤ,u
SZ03,嵊州崇仁镇, T,,,ɤ,u
SZ03,嵊州崇仁镇, Ø,a,ɤ,ɤ,u
SZ03,嵊州崇仁镇,TS,,ɤ,ɤ,u
SZ03,嵊州崇仁镇,TS*,a,ɤ,,
TC01,太仓沙溪, K,a,a,əu,əu
TC01,太仓沙溪, M,a,o,o,o
TC01,太仓沙溪, N,a,o,əu,əu
TC01,太仓沙溪, P,a,o,u,u
TC01,太仓沙溪, T,,,əu,əu
TC01,太仓沙溪, Ø,a,o,u,u
TC01,太仓沙溪,TS,,o,əu,əu
TC01,太仓沙溪,TS*,a,o,,
TC02,太仓城厢, K,a,a,əu,əu
TC02,太仓城厢, M,a,o,o,o
TC02,太仓城厢, N,a,a,əu,əu
TC02,太仓城厢, P,a,o,u,u
TC02,太仓城厢, T,,,əu,əu
TC02,太仓城厢, Ø,a,o,u,u
TC02,太仓城厢,TS,,o,əu,əu
TC02,太仓城厢,TS*,a,o,,
TL01,桐庐镇, K,a,uo,u,u
TL01,桐庐镇, M,a,uo,u,u
TL01,桐庐镇, N,a,a,u,u
TL01,桐庐镇, P,a,uo,u,u
TL01,桐庐镇, T,,,u,u
TL01,桐庐镇, Ø,a,uo,u,u
TL01,桐庐镇,TS,,yo,u,u
TL01,桐庐镇,TS*,a,yo,,
TX01,桐乡城区, K,a,a,u,u
TX01,桐乡城区, M,a,a,o,o
TX01,桐乡城区, N,a,o,u,u
TX01,桐乡城区, P,a,o,u,u
TX01,桐乡城区, T,,,u,u
TX01,桐乡城区, Ø,a,o,u,u
TX01,桐乡城区,TS,,o,u,u
TX01,桐乡城区,TS*,a,o,,
WJ01,吴江市松陵, K,ɔ,ɔ,əu,əu
