point_id,point_name,subbranch,hao_value_counts,hao_status,hao_has_monophthong,hao_unmonophthongized,hao_dominant_value,core_nuclei,back_nuclei,core_nucleus_size,back_nucleus_size,subbranch_is_piling,subbranch_not_piling,core_has_low_back_ɑ_or_ɒ,core_lacks_low_back_ɑ_or_ɒ,core_has_open_mid_back_ɔ_or_ɒ,core_lacks_open_mid_back_ɔ_or_ɒ,core_has_ɑ,core_has_ɒ,core_has_ɔ,core_has_o_and_u,core_nucleus_size_ge_6,core_nucleus_size_le_5,back_nucleus_size_ge_4,back_nucleus_size_le_3,piling_and_lacks_low_back,piling_and_has_o_u_and_lacks_low_back
YQ01,於潜,太湖片-临绍小片,ɔ(94),monophthong_only,True,False,ɔ,"a, o, u","o, u",3,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
YX01,宜兴,太湖片-毗陵小片,au(93),diphthong_or_glide_only,False,True,au,"a, o, u, ɛ, ɷ","o, u, ɷ",5,3,True,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True
YX02,鄞县中区,太湖片-甬江小片,ɔ(84),monophthong_only,True,False,ɔ,"a, e, o, u","o, u",4,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
YY01,余姚城关,太湖片-临绍小片,"ɔ(95), a(1)",monophthong_only,True,False,ɔ,"a, o, u","o, u",3,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
ZJ01,诸暨城关,太湖片-临绍小片,ɔ(89),monophthong_only,True,False,ɔ,"a, o, u","o, u",3,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
ZJ02,诸暨璜山镇,太湖片-临绍小片,ɔ(91),monophthong_only,True,False,ɔ,"a, u, ʊ","u, ʊ",3,2,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False
ZJ03,诸暨直埠镇,太湖片-临绍小片,ɔ(84),monophthong_only,True,False,ɔ,"a, o, u","o, u",3,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
ZP01,周浦,太湖片-苏沪嘉小片,ɔ(70),monophthong_only,True,False,ɔ,"e, o, u, ɔ, ɤ, ᴀ","o, u, ɔ, ɤ",6,4,False,True,False,True,True,False,False,False,True,True,True,False,True,False,False,False
ZR01,真如,太湖片-苏沪嘉小片,ɔ(70),monophthong_only,True,False,ɔ,"o, u, ɔ, ᴀ","o, u, ɔ",4,3,False,True,False,True,True,False,False,False,True,True,False,True,False,True,False,False
ZS01,舟山定海,太湖片-甬江小片,ɔ(86),monophthong_only,True,False,ɔ,"a, o, u, ɛ","o, u",4,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
