point_id,point_name,representative_chain,default_cluster_count,default_cluster,S0_representative_value,S0_all_onset_values,S0_is_diphthong,S0_midpoint_x,S0_midpoint_y,S0_dispersion,S1_representative_value,S1_all_onset_values,S1_is_diphthong,S1_midpoint_x,S1_midpoint_y,S1_dispersion,S2_representative_value,S2_all_onset_values,S2_is_diphthong,S2_midpoint_x,S2_midpoint_y,S2_dispersion,S3_representative_value,S3_all_onset_values,S3_is_diphthong,S3_midpoint_x,S3_midpoint_y,S3_dispersion,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,cluster_k8
XZ01,莘庄,ᴀ → o → u → u,3,3,ᴀ,ᴀ(5),False,2.03,3.0,0.0,o,o(3)、ᴀ(1)、iᴀ(1),False,3.0,1.0,0.2992,u,u(4)、o(1),False,3.0,0.0,0.0667,u,u(4)、o(1),False,3.0,0.0,0.0667,1,3,4,5,6,5,6
YQ01,於潜,a → uo → u → u,3,3,a,a(5),False,1.05,3.0,0.0,uo,uo(4)、ia(1),True,3.0,0.5,0.1174,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,2,2,2,5
YX01,宜兴,a → o → ɷ → u,3,1,a,a(3)、ia(2),False,1.05,3.0,0.2495,o,o(5),False,3.0,1.0,0.0,ɷ,ɷ(3)、au(2),False,3.0,0.5,0.2661,u,u(4)、ɷ(1),False,3.0,0.0,0.0333,1,1,1,2,2,2,2
YX02,鄞县中区,a → o → əu → u,3,2,a,a(5),False,1.05,3.0,0.0,o,o(5),False,3.0,1.0,0.0,əu,əu(5),True,2.35,0.75,0.0,u,u(4)、əu(1),False,3.0,0.0,0.0822,2,2,2,3,3,3,3
YY01,余姚城关,a → o → ou → u,3,2,a,a(5),False,1.05,3.0,0.0,o,o(5),False,3.0,1.0,0.0,ou,ou(5),True,3.0,0.5,0.0,u,u(3)、ou(1)、ɥ(1),False,3.0,0.0,0.3073,2,2,2,3,3,3,3
ZJ01,诸暨城关,a → o → ɔi → u,3,2,a,a(5),False,1.05,3.0,0.0,o,o(5),False,3.0,1.0,0.0,ɔi,ɔi(5),True,1.5,1.0,0.0,u,u(4)、ɔi(1),False,3.0,0.0,0.1317,2,2,2,3,3,3,3
ZJ02,诸暨璜山镇,a → ʊ → ɤɯ → u,3,2,a,a(5),False,1.05,3.0,0.0,ʊ,ʊ(5),False,2.7,0.45,0.0,ɤɯ,ɤɯ(5),True,3.0,0.5,0.0,u,u(4)、ɤɯ(1),False,3.0,0.0,0.0693,2,2,2,3,3,3,3
ZJ03,诸暨直埠镇,a → o → ou → u,3,2,a,a(5),False,1.05,3.0,0.0,o,o(5),False,3.0,1.0,0.0,ou,ou(5),True,3.0,0.5,0.0,u,u(5),False,3.0,0.0,0.0,2,2,2,3,3,3,3
ZP01,周浦,ᴀ → ɔ → u → u,3,3,ᴀ,ᴀ(5),False,2.03,3.0,0.0,ɔ,o(2)、ᴀ(1)、iɔ(1)、ɔ(1),False,3.0,2.0,0.321,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,5,6,7,8
ZR01,真如,ᴀ → o → u → u,3,3,ᴀ,ᴀ(4)、iᴀ(1),False,2.03,3.0,0.1268,o,o(3)、ᴀ(1)、ɔ(1),False,3.0,1.0,0.2139,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,5,6,5,6
ZS01,舟山定海,a → o → au → u,3,2,a,a(5),False,1.05,3.0,0.0,o,o(5),False,3.0,1.0,0.0,au,au(5),True,2.025,1.5,0.0,u,u(4)、au(1),False,3.0,0.0,0.1326,2,2,2,3,3,3,3
