point_id,point_name,mainlayer_onset_rows,S0_major_value,S0_major_support,S0_all_values,S1_major_value,S1_major_support,S1_all_values,S2_major_value,S2_major_support,S2_all_values,S3_major_value,S3_major_support,S3_all_values,major_chain,major_chain_has_tie,dominant_onset_chain,dominant_onset_chain_support,onset_chain_count,unplaced_mainlayer_values,major_pattern_point_count,major_pattern_share
XC01,新昌城关,5,a,5,a(5),o̞,5,o̞(5),o,5,o(5),u,4,u(4)、o(1),a → o̞ → o → u,False,a → o̞ → o → u,4,2,,1,0.012195121951219513
XD01,新登下港,5,a,4,a(4)、ia(1),o,4,o(4)、yo(1),u,5,u(5),u,5,u(5),a → o → u → u,False,a → o → u → u,4,2,,8,0.0975609756097561
XH02,萧山城厢,5,a,5,a(5),o,5,o(5),o,5,o(5),u,4,u(4)、o(1),a → o → o → u,False,a → o → o → u,4,2,,7,0.08536585365853659
XS01,象山丹城,5,a,5,a(5),o,5,o(5),o,5,o(5),u,4,u(4)、o(1),a → o → o → u,False,a → o → o → u,4,2,,7,0.08536585365853659
XS03,萧山南阳镇,5,a,5,a(5),o,5,o(5),o,5,o(5),u,4,u(4)、o(1),a → o → o → u,False,a → o → o → u,4,2,,7,0.08536585365853659
XZ01,莘庄,5,ᴀ,5,ᴀ(5),o,3,o(3)、ᴀ(1)、iᴀ(1),u,4,u(4)、o(1),u,4,u(4)、o(1),ᴀ → o → u → u,False,ᴀ → o → u → u,2,4,,11,0.13414634146341464
YQ01,於潜,5,a,5,a(5),uo,4,uo(4)、ia(1),u,5,u(5),u,5,u(5),a → uo → u → u,False,a → uo → u → u,4,2,,3,0.036585365853658534
YX01,宜兴,5,a,3,a(3)、ia(2),o,5,o(5),ɷ,3,ɷ(3)、au(2),u,4,u(4)、ɷ(1),a → o → ɷ → u,False,ia → o → ɷ → u,2,4,,1,0.012195121951219513
YX02,鄞县中区,5,a,5,a(5),o,5,o(5),əu,5,əu(5),u,4,u(4)、əu(1),a → o → əu → u,False,a → o → əu → u,4,2,,4,0.04878048780487805
YY01,余姚城关,5,a,5,a(5),o,5,o(5),ou,5,ou(5),u,3,u(3)、ou(1)、ɥ(1),a → o → ou → u,False,a → o → ou → u,3,3,TS:S3=ɥ,3,0.036585365853658534
ZJ01,诸暨城关,5,a,5,a(5),o,5,o(5),ɔi,5,ɔi(5),u,4,u(4)、ɔi(1),a → o → ɔi → u,False,a → o → ɔi → u,4,2,,1,0.012195121951219513
ZJ02,诸暨璜山镇,5,a,5,a(5),ʊ,5,ʊ(5),ɤɯ,5,ɤɯ(5),u,4,u(4)、ɤɯ(1),a → ʊ → ɤɯ → u,False,a → ʊ → ɤɯ → u,4,2,,1,0.012195121951219513
ZJ03,诸暨直埠镇,5,a,5,a(5),o,5,o(5),ou,5,ou(5),u,5,u(5),a → o → ou → u,False,a → o → ou → u,5,1,,3,0.036585365853658534
ZP01,周浦,5,ᴀ,5,ᴀ(5),o,2,o(2)、ᴀ(1)、iɔ(1)、ɔ(1),u,5,u(5),u,5,u(5),ᴀ → o → u → u,False,ᴀ → o → u → u,2,4,,11,0.13414634146341464
ZR01,真如,5,ᴀ,4,ᴀ(4)、iᴀ(1),o,3,o(3)、ᴀ(1)、ɔ(1),u,5,u(5),u,5,u(5),ᴀ → o → u → u,False,ᴀ → o → u → u,3,3,,11,0.13414634146341464
ZS01,舟山定海,5,a,5,a(5),o,5,o(5),au,5,au(5),u,4,u(4)、au(1),a → o → au → u,False,a → o → au → u,4,2,,2,0.024390243902439025
