point_id,point_name,onset_class,S1,S2,S3,type,type_formula,一级分类_S1_S3,二级分类_S1_S3
SJ01,松江镇,Ø,iɑ,u,u,T3,歌=模≠麻,合流型,单一合并
SJ02,泗泾,K,ɑ,əu,əu,T3,歌=模≠麻,合流型,单一合并
SJ02,泗泾,M,o,u,o,T5,模=麻≠歌,合流型,单一合并
SJ02,泗泾,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
SJ02,泗泾,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
SJ02,泗泾,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
SL01,三林,K,ᴀ,u,u,T3,歌=模≠麻,合流型,单一合并
SL01,三林,M,o,u,u,T3,歌=模≠麻,合流型,单一合并
SL01,三林,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
SL01,三林,TS,iɔ,u,u,T3,歌=模≠麻,合流型,单一合并
SL01,三林,Ø,ɔ,u,u,T3,歌=模≠麻,合流型,单一合并
SX01,绍兴城区东头埭,K,o,o,u,T4,歌=麻≠模,合流型,单一合并
SX01,绍兴城区东头埭,M,o,o,u,T4,歌=麻≠模,合流型,单一合并
SX01,绍兴城区东头埭,P,o,o,u,T4,歌=麻≠模,合流型,单一合并
SX01,绍兴城区东头埭,TS,o,o,u,T4,歌=麻≠模,合流型,单一合并
SX01,绍兴城区东头埭,Ø,o,o,u,T4,歌=麻≠模,合流型,单一合并
SY02,上虞百官镇,K,o,o,u,T4,歌=麻≠模,合流型,单一合并
SY02,上虞百官镇,M,o,o,u,T4,歌=麻≠模,合流型,单一合并
SY02,上虞百官镇,P,o,o,u,T4,歌=麻≠模,合流型,单一合并
SY02,上虞百官镇,TS,o,o,y,T4,歌=麻≠模,合流型,单一合并
SY02,上虞百官镇,Ø,o,o,u,T4,歌=麻≠模,合流型,单一合并
SZ01,苏州城区,K,ɑ,əu,əu,T3,歌=模≠麻,合流型,单一合并
SZ01,苏州城区,M,o,o,o,T2,歌=麻=模,合流型,全合并
SZ01,苏州城区,P,o,v,v,T3,歌=模≠麻,合流型,单一合并
SZ01,苏州城区,TS,o,əu,əu,T3,歌=模≠麻,合流型,单一合并
SZ01,苏州城区,Ø,o,əu,əu,T3,歌=模≠麻,合流型,单一合并
SZ02,嵊州长乐,K,ɔ,o,u,T1,歌≠麻≠模,分立型,分立
SZ02,嵊州长乐,M,ɔ,o,o,T3,歌=模≠麻,合流型,单一合并
SZ02,嵊州长乐,P,ɔ,o,u,T1,歌≠麻≠模,分立型,分立
SZ02,嵊州长乐,TS,ɔ,ɔ,u,T4,歌=麻≠模,合流型,单一合并
SZ02,嵊州长乐,Ø,ɔ,o,u,T1,歌≠麻≠模,分立型,分立
SZ03,嵊州崇仁镇,K,ɤ,ɤ,u,T4,歌=麻≠模,合流型,单一合并
SZ03,嵊州崇仁镇,M,ɤ,ɤ,u,T4,歌=麻≠模,合流型,单一合并
SZ03,嵊州崇仁镇,P,ɤ,ɤ,u,T4,歌=麻≠模,合流型,单一合并
SZ03,嵊州崇仁镇,TS,ɤ,ɤ,u,T4,歌=麻≠模,合流型,单一合并
SZ03,嵊州崇仁镇,Ø,ɤ,ɤ,u,T4,歌=麻≠模,合流型,单一合并
TC01,太仓沙溪,K,a,əu,əu,T3,歌=模≠麻,合流型,单一合并
TC01,太仓沙溪,M,o,o,o,T2,歌=麻=模,合流型,全合并
TC01,太仓沙溪,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
TC01,太仓沙溪,TS,o,əu,əu,T3,歌=模≠麻,合流型,单一合并
TC01,太仓沙溪,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
TC02,太仓城厢,K,a,əu,əu,T3,歌=模≠麻,合流型,单一合并
TC02,太仓城厢,M,o,o,o,T2,歌=麻=模,合流型,全合并
TC02,太仓城厢,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
TC02,太仓城厢,TS,o,əu,əu,T3,歌=模≠麻,合流型,单一合并
TC02,太仓城厢,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
TL01,桐庐镇,K,uo,u,u,T3,歌=模≠麻,合流型,单一合并
TL01,桐庐镇,M,uo,u,u,T3,歌=模≠麻,合流型,单一合并
TL01,桐庐镇,P,uo,u,u,T3,歌=模≠麻,合流型,单一合并
TL01,桐庐镇,TS,yo,u,u,T3,歌=模≠麻,合流型,单一合并
