point_id,point_name,rhyme_modern,rhyme_phonetic_set
TC02,太仓城厢,麻,"a, ia, o"
TL01,桐庐镇,佳,"a, ia, iɛ, uo, yo"
TL01,桐庐镇,戈,"a, u, uo"
TL01,桐庐镇,模,u
TL01,桐庐镇,歌,"a, u, uo, ɔ, ɛ"
TL01,桐庐镇,皆,"a, iɛ"
TL01,桐庐镇,麻,"a, ia, u, uo, yo"
TX01,桐乡城区,佳,"a, ia, o, ɛ"
TX01,桐乡城区,戈,"o, u"
TX01,桐乡城区,模,"o, u"
TX01,桐乡城区,歌,"a, o, u"
TX01,桐乡城区,皆,"a, ia, iɛ"
TX01,桐乡城区,麻,"a, ia, o"
WJ01,吴江市松陵,佳,"iɔ, o, ɔ"
WJ01,吴江市松陵,戈,"o, u, əu"
WJ01,吴江市松陵,模,"o, u, əu"
WJ01,吴江市松陵,歌,"a, o, u, ɔ, əu"
WJ01,吴江市松陵,皆,"iɔ, ɔ, ɪ, ᴇ"
WJ01,吴江市松陵,麻,"io, iɔ, o, ɔ"
WJ02,吴江芦墟,佳,"iɔ, ɔ"
WJ02,吴江芦墟,戈,"o, u, əu"
WJ02,吴江芦墟,模,"o, u, əu"
WJ02,吴江芦墟,歌,"i, u, ɔ, əu"
WJ02,吴江芦墟,皆,"iɔ, ɔ"
WJ02,吴江芦墟,麻,"iɔ, o, ɔ"
WX01,无锡城区,佳,"a, ia"
WX01,无锡城区,戈,"u, yəʔ, əɯ"
WX01,无锡城区,模,"u, ŋ, əɯ, ʌ"
WX01,无锡城区,歌,"a, əɯ, ʌ"
WX01,无锡城区,皆,"a, ia"
WX01,无锡城区,麻,"a, ia, u, əɯ"
WX02,吴县光福镇,佳,"a, ia, o, ɛ"
WX02,吴县光福镇,戈,"o, u, əu"
WX02,吴县光福镇,模,"o, u, əu"
WX02,吴县光福镇,歌,"a, əu"
WX02,吴县光福镇,皆,"a, ia, ɛ"
WX02,吴县光福镇,麻,"a, ia, io, o, æ"
XC01,新昌城关,佳,"a, ia, o̞"
XC01,新昌城关,戈,"a, o, u, ɛ"
XC01,新昌城关,模,"o, u"
XC01,新昌城关,歌,"a, o, o̞"
XC01,新昌城关,皆,"a, ia, ɛ"
XC01,新昌城关,麻,"a, ia, o, o̞"
XD01,新登下港,佳,"a, ai, ia, o, yo, ɛ"
XD01,新登下港,戈,"a, u, ɛ"
XD01,新登下港,模,u
XD01,新登下港,歌,"a, o, u, ɔ"
XD01,新登下港,皆,"a, ia, ie, o, ɛ"
XD01,新登下港,麻,"a, ia, o, ua, yo"
XH02,萧山城厢,佳,"a, ia, o"
XH02,萧山城厢,戈,"a, o, u"
