point_id,point_name,onset_class,merge_S0_S1,merge_S1_S2,merge_S2_S3,merge_S1_S3,comparison_scope,merge_S1_S3_two_link_mean,merge_NT_S2_S3_only
LY01,溧阳,T,,,0.0,,S2-S3_only,,0.0
LY01,溧阳,TS,0.0,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
LY01,溧阳,Ø,0.0,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
MH01,闵行,K,0.5022,0.0,0.5926,0.0,S1-S3_two_link_mean,0.2963,
MH01,闵行,M,0.0,0.6,0.375,0.375,S1-S3_two_link_mean,0.4875,
MH01,闵行,N,,,0.4444,,S2-S3_only,,0.4444
MH01,闵行,P,0.0789,0.0,0.7273,0.0,S1-S3_two_link_mean,0.36365,
MH01,闵行,T,,,0.65,,S2-S3_only,,0.65
MH01,闵行,TS,0.1344,0.0,0.375,0.0714,S1-S3_two_link_mean,0.1875,
MH01,闵行,Ø,0.0,0.0,0.4286,0.0,S1-S3_two_link_mean,0.2143,
NB01,宁波市区,K,0.0227,0.037,0.0,0.0,S1-S3_two_link_mean,0.0185,
NB01,宁波市区,M,0.1667,0.0,0.25,0.0,S1-S3_two_link_mean,0.125,
NB01,宁波市区,N,,,0.0,,S2-S3_only,,0.0
NB01,宁波市区,P,0.0526,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
NB01,宁波市区,T,,,0.05,,S2-S3_only,,0.05
NB01,宁波市区,TS,0.1344,0.0625,0.1429,0.0,S1-S3_two_link_mean,0.1027,
NB01,宁波市区,Ø,0.0156,0.0476,0.0714,0.0,S1-S3_two_link_mean,0.0595,
