point_id,point_name,onset_class,S0,S1,S2,S3,一级分类,二级分类,三级分类(详细模式),是否越级
PH01,平湖城关,M,a,o,o,o,合流型,多元合并,S1=S2=S3,False
PH01,平湖城关,P,a,o,u,u,合流型,单一合并,S2=S3,False
PH01,平湖城关,TS,a,o,u,u,合流型,单一合并,S2=S3,False
PH01,平湖城关,Ø,a,o,u,u,合流型,单一合并,S2=S3,False
QD01,启东吕四,K,a,yo,ɤ,u,分立型,全不等,全对立,False
QD01,启东吕四,M,a,ɤ,ɤ,ɤ,合流型,多元合并,S1=S2=S3,False
QD01,启东吕四,P,a,ɤ,ɤ,u,合流型,单一合并,S1=S2,False
QD01,启东吕四,TS,a,yo,ɤ,u,分立型,全不等,全对立,False
QD01,启东吕四,Ø,a,o,ɤ,u,分立型,全不等,全对立,False
QP01,青浦商榻,K,ɒ,ɒ,əu,əu,合流型,多元合并,S0=S1，S2=S3,False
QP01,青浦商榻,M,ɒ,ʊ,ʊ,ʊ,合流型,多元合并,S1=S2=S3,False
QP01,青浦商榻,P,ɒ,ʊ,u,u,合流型,单一合并,S2=S3,False
QP01,青浦商榻,TS,ɒ,ʊ,əu,əu,合流型,单一合并,S2=S3,False
QP01,青浦商榻,Ø,ɒ,ʊ,u,u,合流型,单一合并,S2=S3,False
SH01,上海市区,K,ᴀ,ᴀ,u,u,合流型,多元合并,S0=S1，S2=S3,False
SH01,上海市区,M,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
SH01,上海市区,P,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
SH01,上海市区,TS,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
SH01,上海市区,Ø,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
SJ01,松江镇,K,ɑ,ɑ,u,u,合流型,多元合并,S0=S1，S2=S3,False
SJ01,松江镇,M,ɑ,o,o,o,合流型,多元合并,S1=S2=S3,False
SJ01,松江镇,P,ɑ,o,u,u,合流型,单一合并,S2=S3,False
SJ01,松江镇,TS,ɑ,o,u,u,合流型,单一合并,S2=S3,False
SJ01,松江镇,Ø,ɑ,iɑ,u,u,合流型,单一合并,S2=S3,False
SJ02,泗泾,K,ɑ,ɑ,əu,əu,合流型,多元合并,S0=S1，S2=S3,False
SJ02,泗泾,M,ɑ,o,u,o,合流型,单一合并,S1=S3 [越级],True
SJ02,泗泾,P,ɑ,o,u,u,合流型,单一合并,S2=S3,False
SJ02,泗泾,TS,ɑ,o,u,u,合流型,单一合并,S2=S3,False
SJ02,泗泾,Ø,ɑ,o,u,u,合流型,单一合并,S2=S3,False
SL01,三林,K,ᴀ,ᴀ,u,u,合流型,多元合并,S0=S1，S2=S3,False
SL01,三林,M,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
SL01,三林,P,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
SL01,三林,TS,ᴀ,iɔ,u,u,合流型,单一合并,S2=S3,False
SL01,三林,Ø,ᴀ,ɔ,u,u,合流型,单一合并,S2=S3,False
SX01,绍兴城区东头埭,K,a,o,o,u,合流型,单一合并,S1=S2,False
SX01,绍兴城区东头埭,M,a,o,o,u,合流型,单一合并,S1=S2,False
SX01,绍兴城区东头埭,P,a,o,o,u,合流型,单一合并,S1=S2,False
SX01,绍兴城区东头埭,TS,a,o,o,u,合流型,单一合并,S1=S2,False
SX01,绍兴城区东头埭,Ø,a,o,o,u,合流型,单一合并,S1=S2,False
SY02,上虞百官镇,K,ɐ,o,o,u,合流型,单一合并,S1=S2,False
SY02,上虞百官镇,M,ɐ,o,o,u,合流型,单一合并,S1=S2,False
SY02,上虞百官镇,P,ɐ,o,o,u,合流型,单一合并,S1=S2,False
SY02,上虞百官镇,TS,ɐ,o,o,y,合流型,单一合并,S1=S2,False
SY02,上虞百官镇,Ø,ɐ,o,o,u,合流型,单一合并,S1=S2,False
SZ01,苏州城区,K,ɑ,ɑ,əu,əu,合流型,多元合并,S0=S1，S2=S3,False
SZ01,苏州城区,M,ɑ,o,o,o,合流型,多元合并,S1=S2=S3,False
SZ01,苏州城区,P,ɑ,o,v,v,合流型,单一合并,S2=S3,False
SZ01,苏州城区,TS,ɑ,o,əu,əu,合流型,单一合并,S2=S3,False
SZ01,苏州城区,Ø,ɑ,o,əu,əu,合流型,单一合并,S2=S3,False
SZ02,嵊州长乐,K,a,ɔ,o,u,分立型,全不等,全对立,False
SZ02,嵊州长乐,M,a,ɔ,o,o,合流型,单一合并,S2=S3,False
SZ02,嵊州长乐,P,a,ɔ,o,u,分立型,全不等,全对立,False
SZ02,嵊州长乐,TS,a,ɔ,ɔ,u,合流型,单一合并,S1=S2,False
SZ02,嵊州长乐,Ø,a,ɔ,o,u,分立型,全不等,全对立,False
SZ03,嵊州崇仁镇,K,a,ɤ,ɤ,u,合流型,单一合并,S1=S2,False
SZ03,嵊州崇仁镇,M,a,ɤ,ɤ,u,合流型,单一合并,S1=S2,False
SZ03,嵊州崇仁镇,P,a,ɤ,ɤ,u,合流型,单一合并,S1=S2,False
SZ03,嵊州崇仁镇,TS,a,ɤ,ɤ,u,合流型,单一合并,S1=S2,False
SZ03,嵊州崇仁镇,Ø,a,ɤ,ɤ,u,合流型,单一合并,S1=S2,False
TC01,太仓沙溪,K,a,a,əu,əu,合流型,多元合并,S0=S1，S2=S3,False
TC01,太仓沙溪,M,a,o,o,o,合流型,多元合并,S1=S2=S3,False
TC01,太仓沙溪,P,a,o,u,u,合流型,单一合并,S2=S3,False
TC01,太仓沙溪,TS,a,o,əu,əu,合流型,单一合并,S2=S3,False
TC01,太仓沙溪,Ø,a,o,u,u,合流型,单一合并,S2=S3,False
TC02,太仓城厢,K,a,a,əu,əu,合流型,多元合并,S0=S1，S2=S3,False
TC02,太仓城厢,M,a,o,o,o,合流型,多元合并,S1=S2=S3,False
TC02,太仓城厢,P,a,o,u,u,合流型,单一合并,S2=S3,False
TC02,太仓城厢,TS,a,o,əu,əu,合流型,单一合并,S2=S3,False
TC02,太仓城厢,Ø,a,o,u,u,合流型,单一合并,S2=S3,False
TL01,桐庐镇,K,a,uo,u,u,合流型,单一合并,S2=S3,False
TL01,桐庐镇,M,a,uo,u,u,合流型,单一合并,S2=S3,False
TL01,桐庐镇,P,a,uo,u,u,合流型,单一合并,S2=S3,False
TL01,桐庐镇,TS,a,yo,u,u,合流型,单一合并,S2=S3,False
TL01,桐庐镇,Ø,a,uo,u,u,合流型,单一合并,S2=S3,False
TX01,桐乡城区,K,a,a,u,u,合流型,多元合并,S0=S1，S2=S3,False
TX01,桐乡城区,M,a,a,o,o,合流型,多元合并,S0=S1，S2=S3,False
TX01,桐乡城区,P,a,o,u,u,合流型,单一合并,S2=S3,False
TX01,桐乡城区,TS,a,o,u,u,合流型,单一合并,S2=S3,False
TX01,桐乡城区,Ø,a,o,u,u,合流型,单一合并,S2=S3,False
WJ01,吴江市松陵,K,ɔ,ɔ,əu,əu,合流型,多元合并,S0=S1，S2=S3,False
WJ01,吴江市松陵,M,ɔ,o,o,o,合流型,多元合并,S1=S2=S3,False
WJ01,吴江市松陵,P,ɔ,o,u,u,合流型,单一合并,S2=S3,False
WJ01,吴江市松陵,TS,ɔ,o,əu,əu,合流型,单一合并,S2=S3,False
WJ01,吴江市松陵,Ø,ɔ,o,u,u,合流型,单一合并,S2=S3,False
WJ02,吴江芦墟,K,ɔ,ɔ,əu,əu,合流型,多元合并,S0=S1，S2=S3,False
WJ02,吴江芦墟,M,ɔ,o,o,o,合流型,多元合并,S1=S2=S3,False
WJ02,吴江芦墟,P,ɔ,o,u,u,合流型,单一合并,S2=S3,False
WJ02,吴江芦墟,TS,ɔ,o,əu,əu,合流型,单一合并,S2=S3,False
WJ02,吴江芦墟,Ø,ɔ,o,u,u,合流型,单一合并,S2=S3,False
WX01,无锡城区,K,a,a,əɯ,u,合流型,单一合并,S0=S1,False
WX01,无锡城区,M,a,u,əɯ,əɯ,合流型,单一合并,S2=S3,False
WX01,无锡城区,P,a,u,əɯ,əɯ,合流型,单一合并,S2=S3,False
WX01,无锡城区,TS,a,əɯ,əɯ,əɯ,合流型,多元合并,S1=S2=S3,False
